"code","id","account_type","chart_template_id/id","name","note","reconcile"
"010","ba_fbih_010","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Kapitalizirana ulaganja u razvoj",,
"011","ba_fbih_011","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Koncesije, patenti, licence, zaštitni znakovi i druga prava",,
"012","ba_fbih_012","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Goodwill",,
"013","ba_fbih_013","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ulaganja na tuđim stalnim sredstvima",,
"014","ba_fbih_014","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala nematerijalna sredstva",,
"015","ba_fbih_015","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Nematerijalna sredstva u pripremi",,
"017","ba_fbih_017","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Avansi za nematerijalna sredstva",,
"020","ba_fbih_020","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Zemljište",,
"021","ba_fbih_021","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Građevinski objekti",,
"022","ba_fbih_022","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Postrojenja i oprema (mašine)",,
"023","ba_fbih_023","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Alati, pogonski i kancelarijski namještaj",,
"024","ba_fbih_024","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Transportna sredstva",,
"025","ba_fbih_025","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Nekretnine, postrojenja i oprema u pripremi",,
"026","ba_fbih_026","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Stambene zgrade i stanovi",,
"027","ba_fbih_027","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Avansi za nekretnine, postrojenja i opremu",,
"030","ba_fbih_030","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ulaganja u vlastito zemljište",,
"031","ba_fbih_031","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ulaganja u unajmljeno zemljište",,
"032","ba_fbih_032","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ulaganja u vlastite građevine",,
"033","ba_fbih_033","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ulaganja u unajmljene građevine",,
"035","ba_fbih_035","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ulaganja u nekretnine u pripremi",,
"037","ba_fbih_037","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Avansi za investicijske nekretnine",,
"040","ba_fbih_040","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Šume",,
"041","ba_fbih_041","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Višegodišnji zasadi",,
"042","ba_fbih_042","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Osnovno stado",,
"045","ba_fbih_045","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Biološka sredstva u pripremi",,
"047","ba_fbih_047","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Avansi za biološka sredstva",,
"050","ba_fbih_050","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala stalna materijalna sredstva u upotrebi",,
"055","ba_fbih_055","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala stalna materijalna sredstva u pripremi",,
"057","ba_fbih_057","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Avansi za ostala stalna materijalna sredstva",,
"060","ba_fbih_060","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Učešća u kapitalu povezanih pravnih lica",,
"061","ba_fbih_061","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Učešća u kapitalu drugih pravnih lica",,
"062","ba_fbih_062","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Dugoročni krediti dati povezanim pravnim licima",,
"063","ba_fbih_063","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Dugoročni krediti dati u zemlji",,
"064","ba_fbih_064","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Dugoročni krediti dati u inostranstvo",,
"065","ba_fbih_065","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Finansijska sredstva raspoloživa za prodaju",,
"066","ba_fbih_066","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Finansijska sredstva koja se drže do roka dospijeća",,
"068","ba_fbih_068","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ostali dugoročni finansijski plasmani",,
"069","ba_fbih_069","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti dugoročnih finansijskih plasmana",,
"070","ba_fbih_070","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja od povezanih pravnih lica",,
"071","ba_fbih_071","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja po osnovu prodaje na kredit",,
"072","ba_fbih_072","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja po ugovorima o finansijskom najmu (lizingu)",,
"078","ba_fbih_078","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala dugoročna potraživanja",,
"079","ba_fbih_079","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti dugoročnih potraživanja",,
"090","ba_fbih_090","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Odložena porezna sredstva",,
"091","ba_fbih_091","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Unaprijed plaćeni troškovi (za period duži od 12 mjeseci)",,
"098","ba_fbih_098","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala dugoročna razgraničenja",,
"100","ba_fbih_100","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Obračun troška nabavke",,
"101","ba_fbih_101","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Sirovine i materijal",,
"102","ba_fbih_102","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Rezervni dijelovi",,
"103","ba_fbih_103","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Autogume i ambalaža",,
"104","ba_fbih_104","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Alat i sitan inventar",,
"108","ba_fbih_108","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Odstupanje od cijena",,
"109","ba_fbih_109","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti sirovina, materijala, dijelova i inventara",,
"110","ba_fbih_110","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Proizvodnja u toku, nedovršeni proizvodi",,
"111","ba_fbih_111","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Poluproizvodi i dijelovi vlastite proizvodnje",,
"112","ba_fbih_112","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Proizvodnja kod kooperanata",,
"113","ba_fbih_113","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Obustavljena proizvodnja",,
"114","ba_fbih_114","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Poluproizvodi u doradi i obradi",,
"115","ba_fbih_115","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Nedovršene usluge",,
"118","ba_fbih_118","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Odstupanje od cijena",,
